#This is a composite table that regroup several relevant informations for the analysis of the rotation and its link to stellar activity,,,,,,,,,,,,,,,,,,,,,,
"#  For Teff and Metallicity, we keep them in this order of priority: Pinsonneault2012, Silva-Aguirre2015, Davies2015",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#Primary variables,,-,-,-,-,-,-,-,-,-,-,-,-,Secondary variables,-,-,-,-,-,-,-,-
KIC,Teff_SDSS,Tot_eTeff,random_eTeff,Teff_IRFM,Tot_eTeff,random_eTeff,Teff_KIC,logg_KIC,[Fe/H]_KIC,e_metal,Teff_corr,Quality_flag,Data Source,    Age/Gyr,err,M/Msun,err,  R/Rsun  ,err,rho/rhosun,err,source
8760414,5873,77,0,-9999,0,0,-9999,0,0,0,0,,Pinsonnault2012,15.78,-9999,0.76,-9999,0.975,-9999,0.8,-9999,Bellinger2019
8866102,6230,77,70,6283,127,126,6035,4.22,-0.19,0,0,,Pinsonnault2012,1.81,-9999,1.223,-9999,1.357,-9999,0.4902,-9999,Bellinger2019
8938364,5965,62,44,5921,178,178,5741,4.34,-0.38,0,0,,Pinsonnault2012,11.02,-9999,0.99,-9999,1.363,-9999,0.3955,-9999,Bellinger2019
9025370,5659,73,58,6050,207,206,5617,4.3,0.01,0,0,,Pinsonnault2012,5.77,-9999,0.921,-9999,0.987,-9999,0.965,-9999,Bellinger2019
9098294,6020,51,34,5867,127,127,5701,4.44,-0.73,0,0,,Pinsonnault2012,9.42,-9999,0.934,-9999,1.112,-9999,0.682,-9999,Bellinger2019
9139151,6134,48,37,6221,188,188,5911,4.32,-0.15,0,0,,Pinsonnault2012,1.82,-9999,1.205,-9999,1.168,-9999,0.7566,-9999,Bellinger2019
9139163,6405,44,39,6623,168,168,6220,4.28,-0.13,0,0,,Pinsonnault2012,2.09,-9999,1.378,-9999,1.557,-9999,0.3653,-9999,Bellinger2019
9206432,6494,46,41,7030,173,173,6301,4.27,-0.06,0,1,,Pinsonnault2012,1.67,-9999,1.355,-9999,1.505,-9999,0.3982,-9999,Bellinger2019
9353712,6416,56,40,6305,136,135,6180,4.28,-0.32,0,0,,Pinsonnault2012,2.44,-9999,1.465,-9999,2.164,-9999,0.1446,-9999,Bellinger2019
9410862,6230,53,38,6059,137,136,5929,4.26,-0.67,0,0,,Pinsonnault2012,7.34,-9999,0.954,-9999,1.139,-9999,0.65,-9999,Bellinger2019
9414417,6278,52,43,6405,148,147,6069,4.34,-0.05,0,0,,Pinsonnault2012,2.8,-9999,1.319,-9999,1.882,-9999,0.1978,-9999,Bellinger2019
9592705,6174,92,0,-9999,0,0,-9999,0,0.22,0.1,0,,Silva-Aguirre2015,2.21,-9999,1.521,-9999,2.118,-9999,0.161,-9999,Bellinger2019
9812850,6407,47,40,6687,155,155,6169,4.21,-0.29,0,0,,Pinsonnault2012,1.99,-9999,1.417,-9999,1.805,-9999,0.2399,-9999,Bellinger2019
