Kepler-10   HN-2 6481.579011        -4.45     1.59     6895.96     5.55    55.89     0.05     -37.67     1.82     0.182     0.004    -4.903     0.020
Kepler-10   HN-2 6482.444928        -0.97     1.46     6905.43     4.47    56.00     0.04      15.87     1.58     0.180     0.004    -4.910     0.019
Kepler-10   HN-2 6482.629563        -0.55     2.11     6900.04     7.43    55.71     0.07      18.65     1.94     0.175     0.007    -4.934     0.034
Kepler-10   HN-2 6495.440124         2.06     0.95     6903.09    16.47    55.88     0.16       4.12     1.50     0.177     0.002    -4.925     0.009
Kepler-10   HN-2 6495.607249         1.68     1.18     6904.92     8.18    56.02     0.08      -0.93     1.68     0.175     0.003    -4.938     0.013
Kepler-10   HN-2 6496.386463         4.13     1.12     6901.42     9.94    55.91     0.10      -2.62     1.48     0.173     0.003    -4.946     0.013
Kepler-10   HN-2 6496.639801         1.18     1.08     6907.32    11.32    55.46     0.11      -0.70     1.37     0.180     0.002    -4.912     0.010
Kepler-10   HN-2 6497.498983        -0.28     0.92     6906.47    16.65    55.91     0.16      13.49     1.23     0.179     0.002    -4.916     0.008
Kepler-10   HN-2 6497.680260         4.43     1.08     6912.32    10.41    55.73     0.10       9.61     1.06     0.181     0.002    -4.909     0.011
Kepler-10   HN-2 6498.495715         5.96     1.00     6897.16    15.33    55.78     0.15      -5.62     1.63     0.178     0.002    -4.921     0.009
Kepler-10   HN-2 6498.672404         4.74     1.33     6901.39     7.36    55.72     0.07       5.31     1.58     0.178     0.003    -4.920     0.016
Kepler-10   HN-2 6499.445571         5.57     1.08     6911.55    11.52    55.78     0.11       0.86     1.64     0.177     0.002    -4.925     0.010
Kepler-10   HN-2 6499.669878         4.75     1.27     6907.80     7.33    55.12     0.07      -4.10     1.60     0.179     0.003    -4.915     0.013
Kepler-10   HN-2 6500.450820         7.08     1.01     6899.56    13.39    55.88     0.13       2.20     1.63     0.178     0.002    -4.924     0.009
Kepler-10   HN-2 6500.635666         0.38     1.45     6904.71     6.15    55.05     0.06      -6.56     1.56     0.179     0.003    -4.915     0.015
Kepler-10   HN-2 6501.426289         2.37     1.40     6914.02     8.52    55.64     0.08       9.16     1.85     0.179     0.003    -4.916     0.016
Kepler-10   HN-2 6501.659308         1.76     1.40     6911.40     7.42    55.34     0.07      -9.69     1.47     0.179     0.003    -4.918     0.016
